"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,78,16
"2",0,0,13,78,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,10,78,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,77,2,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,16,80,4,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,14,76,10,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,79,20,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,77,19,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,9,80,11,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,77,18
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,24,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,76,19,0,0
