"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",0,0,0,0,0,0,0,0,0,0,6,79,15,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,80,14,0,0,0,0
"3",0,0,0,0,0,0,0,0,1,80,19,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,10,79,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,15,75,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,13,80,7,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,80,6,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,17,77,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,19,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,20,75,5,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,15,76,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,9,76,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,76,8,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,7,80,13,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,15,77,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,8,77,15,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,75,21,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,5,76,19,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,19,78,3,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,80,13,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,75,3
"22",0,0,0,0,0,0,0,0,4,76,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,9,79,12,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,16,76,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
